customerID,gender,SeniorCitizen,Partner,DependentsCount,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,TotalCharges,Churn
C100013,Female,1,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,11,88.08,946.93,No
C100014,Female,1,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,57,87.06,4952.03,No
C100015,Female,1,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer,61,81.15,4966.55,No
C100016,Female,0,No,0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,2,81.68,157.75,Yes
C100017,Male,0,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,48,58.02,2780.5,Yes
C100018,Female,0,Yes,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,66.54,2241.14,Yes
C100019,Male,1,Yes,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,45,24.88,1123.54,Yes
C100020,Female,1,Yes,2,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,21,71.4,1477.82,No
C100021,Male,0,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,15,45.43,688.77,Yes
C100022,Male,1,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,20,78.0,1540.14,No
C100023,Female,1,Yes,4,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,11,53.57,585.08,No
C100024,Female,1,No,4,No,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,29,20.0,611.5,No
C100025,Female,1,Yes,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62,142.57,8846.66,No
C100026,Male,1,No,4,No,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer,56,68.06,3804.43,No
C100027,Female,0,Yes,4,No,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,12,118.41,1438.06,No
C100028,Female,0,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer,40,59.19,2353.13,No
C100029,Male,0,No,4,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,5,125.94,609.98,No
C100030,Male,1,Yes,0,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,4,40.45,154.51,Yes
C100031,Male,1,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,45,80.28,3634.57,No
C100032,Male,0,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,21,42.23,907.68,No
C100033,Female,0,No,2,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,50,153.02,7641.07,No
C100034,Female,0,Yes,4,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,11,67.52,737.04,No
C100035,Male,1,Yes,1,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,8,99.85,807.21,No
C100036,Female,1,Yes,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,51,88.52,4563.08,No
C100037,Female,0,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,14,74.23,1034.47,No
C100038,Male,1,No,3,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card,4,90.53,389.77,No
C100039,Female,1,No,0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,56,115.78,6488.67,No
C100040,Male,0,Yes,2,No,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,50,95.05,4769.57,No
C100041,Female,0,Yes,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,66,79.87,5291.69,No
C100042,Female,0,Yes,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,43,90.58,3898.46,No
C100043,Male,1,No,4,Yes,No,No,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,34,132.45,4502.73,No
C100044,Male,0,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,48,62.5,2995.86,Yes
C100045,Female,0,Yes,2,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer,57,20.0,1147.01,Yes
C100046,Male,0,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card,45,42.1,1918.26,Yes
C100047,Female,1,Yes,1,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,22,44.34,1001.93,Yes
C100048,Female,0,No,4,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64,48.56,3132.05,No
C100049,Female,1,Yes,4,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,50,49.59,2470.18,No
C100050,Female,0,Yes,0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,63,74.29,4668.91,No
C100051,Male,0,Yes,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40,82.42,3280.24,No
C100052,Male,1,No,2,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer,32,82.1,2630.28,No
C100053,Male,1,Yes,4,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,60,53.09,3204.06,Yes
C100054,Male,1,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card,44,104.82,4600.78,No
C100055,Male,1,No,3,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,55,91.03,5002.99,No
C100056,Female,0,No,3,No,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64,122.44,7849.09,No
C100057,Male,0,Yes,0,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,20,100.4,2001.58,No
C100058,Female,0,No,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,13,64.51,834.82,No
C100059,Female,1,Yes,0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,10,114.16,1163.89,No
C100060,Female,0,No,4,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,43,83.21,3578.5,No
C100061,Female,0,No,4,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,58,98.94,5724.11,No
C100062,Male,1,Yes,4,No,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer,70,96.61,6764.63,No
C100063,Female,1,No,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,2,71.27,151.21,Yes
C100064,Male,1,Yes,4,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,0,78.1,128.19,Yes
C100065,Male,1,Yes,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,48,71.06,3441.26,No
C100066,Female,1,Yes,3,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,19,49.41,1002.64,Yes
C100067,Male,1,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34,20.0,658.69,No
C100068,Male,1,No,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card,5,54.19,298.77,No
C100069,Male,0,Yes,1,Yes,No,No,Yes,Yes,No,No,No,No,Two year,No,Mailed check,5,80.97,435.91,No
C100070,Female,1,Yes,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,38,107.57,4088.27,No
C100071,Male,0,Yes,3,Yes,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,49,98.88,4837.27,Yes
C100072,Male,0,No,4,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer,63,66.61,4211.18,No
C100073,Male,1,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,34,54.59,1849.54,No
C100074,Female,1,Yes,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,46,69.6,3178.72,No
C100075,Male,0,No,1,Yes,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,61,45.75,2762.41,No
C100076,Male,0,No,3,Yes,No,No,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,31,20.0,590.06,No
C100077,Male,1,No,3,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card,15,28.65,434.41,No
C100078,Female,1,Yes,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,59,116.24,6871.59,No
C100079,Female,1,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,0,130.72,111.23,No
C100080,Female,1,No,1,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,19,97.62,1864.45,No
C100081,Male,1,No,0,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,9,73.26,668.87,No
C100082,Male,1,Yes,1,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,46,33.21,1534.59,Yes
C100083,Female,0,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,19,70.17,1346.83,No
C100084,Female,0,Yes,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,24,93.36,2244.95,No
C100085,Female,1,Yes,2,No,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,46,99.9,4622.06,No
C100086,Male,1,No,3,No,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,21,95.66,2021.34,No
C100087,Male,0,No,3,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,26,111.29,2868.45,No
C100088,Female,1,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,35,133.29,4701.95,No
C100089,Female,0,No,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,8,62.85,483.58,No
C100090,Male,1,No,3,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer,67,159.16,10663.4,No
C100091,Female,1,No,3,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Two year,No,Credit card,70,20.0,1451.04,No
C100092,Female,0,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Bank transfer,51,51.65,2643.94,No
C100093,Male,1,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,7,81.0,550.55,Yes
C100094,Female,0,No,0,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,34,91.47,3116.72,No
C100095,Male,0,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer,25,69.55,1749.2,No
C100096,Male,0,No,3,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card,11,60.13,665.45,Yes
C100097,Female,1,No,2,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,63,141.08,8877.9,No
C100098,Female,1,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer,29,58.69,1676.41,Yes
C100099,Male,0,No,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,46,44.42,2020.03,Yes
C100100,Female,0,Yes,4,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,49,125.72,6144.69,No
C100101,Male,0,Yes,4,Yes,Yes,No,No,No,Yes,No,Yes,No,One year,No,Credit card,23,100.47,2336.71,Yes
C100102,Female,1,Yes,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card,25,107.84,2671.62,No
C100103,Male,0,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,69,80.88,5583.83,No
C100104,Female,1,No,2,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,59,33.72,2017.45,Yes
C100105,Female,0,No,2,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer,36,77.54,2804.46,No
C100106,Female,1,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,38,29.59,1152.85,Yes
C100107,Female,0,No,0,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card,0,82.27,70.54,Yes
C100108,Male,0,Yes,4,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,14,94.6,1336.96,No
C100109,Female,1,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,0,107.26,130.28,No
C100110,Male,1,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,58,72.23,4208.16,Yes
C100111,Female,1,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,67,97.44,6546.28,No
C100112,Female,1,Yes,1,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,11,47.88,502.79,No
C100113,Male,0,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer,20,104.0,2093.34,No
C100114,Female,1,Yes,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,25,95.24,2390.76,Yes
C100115,Female,0,Yes,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,58,50.99,2954.41,No
C100116,Male,0,No,4,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,29,90.91,2624.29,No
C100117,Male,0,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,3,107.69,332.08,Yes
C100118,Male,1,No,3,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,42,77.36,3229.37,No
C100119,Male,0,Yes,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card,10,50.32,494.57,Yes
C100120,Male,1,Yes,4,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,46,80.33,3714.02,Yes
C100121,Female,1,No,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,61,91.57,5606.61,No
C100122,Female,1,Yes,2,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,4,50.1,210.04,No
C100123,Male,1,No,2,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,71,44.77,3169.47,No
C100124,Female,0,No,3,No,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,47,90.65,4238.32,No
C100125,Female,1,Yes,0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,3,99.7,283.51,Yes
C100126,Male,1,No,4,Yes,Yes,No,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,15,139.49,2118.06,No
C100127,Female,0,No,0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,12,94.97,1143.53,No
C100128,Female,0,Yes,3,No,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,63,38.73,2437.95,No
C100129,Female,0,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,52,136.19,7085.15,No
C100130,Female,0,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,26,106.65,2786.59,No
C100131,Female,1,Yes,2,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,38,20.0,739.47,No
C100132,Male,1,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card,25,44.09,1092.52,Yes
C100133,Female,1,Yes,4,No,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,29,60.25,1760.17,No
C100134,Female,1,Yes,1,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,45,100.14,4511.1,No
C100135,Male,0,No,1,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,14,20.0,302.12,Yes
C100136,Female,1,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,54,71.43,3872.29,Yes
C100137,Male,0,Yes,3,Yes,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer,68,98.43,6677.8,No
C100138,Male,0,No,0,No,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,70,20.0,1333.25,Yes
C100139,Male,1,Yes,0,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,12,97.4,1172.89,No
C100140,Female,1,Yes,4,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,29,101.01,2908.38,No
C100141,Male,0,No,3,No,Yes,No,No,No,No,No,No,Yes,One year,Yes,Mailed check,19,49.6,952.55,Yes
C100142,Male,1,Yes,2,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,45,40.4,1849.81,Yes
C100143,Male,1,Yes,0,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,23,49.13,1109.4,Yes
C100144,Female,0,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,28,20.0,572.93,Yes
C100145,Female,1,Yes,4,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card,9,65.21,604.29,Yes
C100146,Male,0,No,0,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,40,81.59,3270.51,No
C100147,Male,0,Yes,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,38,38.42,1466.52,Yes
C100148,Female,1,Yes,1,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,39,104.16,4020.71,No
C100149,Male,0,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,24,78.08,1875.23,Yes
C100150,Female,1,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,54,82.8,4471.03,No
C100151,Male,1,No,0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,43,62.94,2727.41,Yes
C100152,Female,0,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,12,97.29,1186.68,No
C100153,Male,0,No,4,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer,26,113.72,2946.51,No
C100154,Male,1,No,3,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,47,62.77,2912.19,Yes
C100155,Female,0,No,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Mailed check,8,97.83,750.72,No
C100156,Male,1,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,25,98.16,2482.17,No
C100157,Female,0,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,62,87.54,5425.93,No
C100158,Female,1,Yes,3,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,31,125.31,3855.68,No
C100159,Female,0,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,36,53.21,1889.11,Yes
C100160,Female,0,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card,49,62.35,3059.77,Yes
C100161,Female,1,Yes,3,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,23,51.69,1191.29,Yes
C100162,Male,0,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,59,96.75,5741.37,No
C100163,Male,0,Yes,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,1,66.83,65.23,No
C100164,Male,1,No,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,54.13,1848.14,Yes
C100165,Female,1,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,43,124.89,5369.43,No
C100166,Male,0,No,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,17,129.29,2214.31,No
C100167,Male,1,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,56,65.14,3683.04,No
C100168,Male,0,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,5,33.98,188.79,Yes
C100169,Male,0,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,46,130.91,6061.28,No
C100170,Male,0,No,2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,45,89.12,4021.22,No
C100171,Male,1,Yes,1,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card,56,87.62,4875.0,No
C100172,Female,0,Yes,3,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,14,78.15,1077.62,Yes
C100173,Female,0,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,11,50.99,577.31,Yes
C100174,Female,0,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,41,62.6,2561.77,No
C100175,Male,1,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,69,95.33,6577.81,No
C100176,Female,1,No,1,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,56,61.57,3431.72,No
C100177,Male,0,No,3,Yes,Yes,No,No,No,No,No,No,Yes,One year,Yes,Bank transfer,15,87.99,1348.74,No
C100178,Female,0,Yes,4,Yes,No,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,29,75.4,2217.23,No
C100179,Female,1,No,2,Yes,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,19,43.29,817.93,Yes
C100180,Female,1,No,3,No,No,No,No,Yes,No,Yes,No,No,One year,Yes,Credit card,56,123.63,6918.9,No
C100181,Male,1,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,36,92.82,3367.03,No
C100182,Male,1,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,31,84.92,2653.44,No
C100183,Female,1,No,0,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0,91.65,59.03,No
C100184,Male,0,Yes,2,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,45,21.21,968.04,Yes
C100185,Male,0,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,31,60.2,1876.12,No
C100186,Male,0,Yes,3,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,2,29.18,62.09,Yes
C100187,Male,0,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,14,78.74,1084.81,Yes
